Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
SNC-Lavalin Group Inc. (TSX:SNC),TSX:SNC,Engineering/Construction,Canada,"Australia, NZ and Canada",Canada
SnipGold Corp. (TSXV:SGG),TSXV:SGG,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Societe d'Exploration Miniere Vior Inc. (TSXV:VIO),TSXV:VIO,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Soil Sub Technologies Ltd. (ASX:SOI),ASX:SOI,Farming/Agriculture,Australia,"Australia, NZ and Canada",Australia & NZ
Sojourn Ventures Inc. (TSXV:SOJ),TSXV:SOJ,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Sokoman Iron Corp. (TSXV:SIC),TSXV:SIC,Steel,Canada,"Australia, NZ and Canada",Canada
Solarvest BioEnergy Inc (TSXV:SVS),TSXV:SVS,Household Products,Canada,"Australia, NZ and Canada",Canada
Solegear Bioplastic Technologies Inc. (TSXV:SGB),TSXV:SGB,Chemical (Basic),Canada,"Australia, NZ and Canada",Canada
SolGold plc (AIM:SOLG),AIM:SOLG,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
SolidusGold Inc. (TSXV:SDC),TSXV:SDC,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Solium Capital Inc. (TSX:SUM),TSX:SUM,Software (Internet),Canada,"Australia, NZ and Canada",Canada
Solution Dynamics Limited (NZSE:SDL),NZSE:SDL,Information Services,New Zealand,"Australia, NZ and Canada",Australia & NZ
SomnoMed Limited (ASX:SOM),ASX:SOM,Healthcare Products,Australia,"Australia, NZ and Canada",Australia & NZ
Sona Resources Corp. (TSXV:SYS),TSXV:SYS,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Sonde Resources Corp. (OTCPK:SOQD.F),OTCPK:SOQD.F,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Sonic Healthcare Limited (ASX:SHL),ASX:SHL,Healthcare Support Services,Australia,"Australia, NZ and Canada",Australia & NZ
Sonomax Technologies Inc (OTCPK:SXHH.F),OTCPK:SXHH.F,Healthcare Products,Canada,"Australia, NZ and Canada",Canada
