Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
"International Textile Group, Inc. (OTCPK:ITXN)",OTCPK:ITXN,Apparel,United States,United States,United States
"Interpace Diagnostics Group, Inc. (NasdaqCM:IDXG)",NasdaqCM:IDXG,Healthcare Support Services,United States,United States,United States
Interphase Corp. (OTCPK:INPH.Q),OTCPK:INPH.Q,Telecom. Equipment,United States,United States,United States
Interplay Entertainment Corp. (OTCPK:IPLY),OTCPK:IPLY,Software (Entertainment),United States,United States,United States
"Intersect ENT, Inc. (NasdaqGM:XENT)",NasdaqGM:XENT,Drugs (Pharmaceutical),United States,United States,United States
Intersections Inc. (NasdaqGM:INTX),NasdaqGM:INTX,Business & Consumer Services,United States,United States,United States
Intersil Corporation (NasdaqGS:ISIL),NasdaqGS:ISIL,Semiconductor,United States,United States,United States
"Intertech Solutions , Inc. (OTCPK:ITEC)",OTCPK:ITEC,Precious Metals,United States,United States,United States
"Interval Leisure Group, Inc. (NasdaqGS:IILG)",NasdaqGS:IILG,Hotel/Gaming,United States,United States,United States
inTEST Corp. (AMEX:INTT),AMEX:INTT,Semiconductor Equip,United States,United States,United States
Intevac Inc. (NasdaqGS:IVAC),NasdaqGS:IVAC,Computers/Peripherals,United States,United States,United States
INTL FCStone Inc. (NasdaqGS:INTL),NasdaqGS:INTL,Brokerage & Investment Banking,United States,United States,United States
"Intra-Cellular Therapies, Inc. (NasdaqGS:ITCI)",NasdaqGS:ITCI,Drugs (Pharmaceutical),United States,United States,United States
"IntraLinks Holdings, Inc. (NYSE:IL)",NYSE:IL,Software (Internet),United States,United States,United States
"Intrawest Resorts Holdings, Inc. (NYSE:SNOW)",NYSE:SNOW,Recreation,United States,United States,United States
INTREorg Systems Inc. (OTCPK:IORG),OTCPK:IORG,Software (System & Application),United States,United States,United States
"Intrepid Potash, Inc. (NYSE:IPI)",NYSE:IPI,Chemical (Specialty),United States,United States,United States
Intrexon Corporation (NYSE:XON),NYSE:XON,Drugs (Biotechnology),United States,United States,United States
Intricon Corp. (NasdaqGM:IIN),NasdaqGM:IIN,Electronics (General),United States,United States,United States
Intrinsic4D Inc. (TSXV:IFD),TSXV:IFD,Heathcare Information and Technology,United States,United States,United States
Intrusion Inc. (OTCPK:INTZ),OTCPK:INTZ,Software (System & Application),United States,United States,United States
Intuit Inc. (NasdaqGS:INTU),NasdaqGS:INTU,Software (System & Application),United States,United States,United States
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",NasdaqGS:ISRG,Healthcare Products,United States,United States,United States
"Inuvo, Inc. (AMEX:INUV)",AMEX:INUV,Software (Internet),United States,United States,United States
Invacare Corporation (NYSE:IVC),NYSE:IVC,Healthcare Products,United States,United States,United States
"InvenSense, Inc. (NYSE:INVN)",NYSE:INVN,Electronics (General),United States,United States,United States
"Invent Ventures, Inc. (OTCPK:IDEA)",OTCPK:IDEA,Investments & Asset Management,United States,United States,United States
"Inventergy Global, Inc. (NasdaqCM:INVT)",NasdaqCM:INVT,Telecom. Equipment,United States,United States,United States
InvenTrust Properties Corp. (OTCPK:IARE),OTCPK:IARE,R.E.I.T.,United States,United States,United States
"Inventure Foods, Inc. (NasdaqGS:SNAK)",NasdaqGS:SNAK,Food Processing,United States,United States,United States
Invesco Ltd. (NYSE:IVZ),NYSE:IVZ,Investments & Asset Management,United States,United States,United States
Invesco Mortgage Capital Inc. (NYSE:IVR),NYSE:IVR,R.E.I.T.,United States,United States,United States
Investar Holding Corporation (NasdaqGM:ISTR),NasdaqGM:ISTR,Banks (Regional),United States,United States,United States
"Investment Technology Group, Inc. (NYSE:ITG)",NYSE:ITG,Brokerage & Investment Banking,United States,United States,United States
Investors Bancorp Inc. (NasdaqGS:ISBC),NasdaqGS:ISBC,Banks (Regional),United States,United States,United States
Investors Real Estate Trust (NYSE:IRET),NYSE:IRET,R.E.I.T.,United States,United States,United States
Investors Title Co. (NasdaqGS:ITIC),NasdaqGS:ITIC,Insurance (Prop/Cas.),United States,United States,United States
"Investview, Inc. (OTCPK:INVU)",OTCPK:INVU,Software (Internet),United States,United States,United States
Invitae Corporation (NYSE:NVTA),NYSE:NVTA,Drugs (Biotechnology),United States,United States,United States
InVitro International (OTCPK:IVRO),OTCPK:IVRO,Healthcare Products,United States,United States,United States
InVivo Therapeutics Holdings Corp. (NasdaqGM:NVIV),NasdaqGM:NVIV,Healthcare Products,United States,United States,United States
"INVO Bioscience, Inc. (OTCPK:IVOB)",OTCPK:IVOB,Healthcare Products,United States,United States,United States
"Invuity, Inc. (NasdaqGM:IVTY)",NasdaqGM:IVTY,Healthcare Products,United States,United States,United States
"Inyx, Inc. (OTCPK:IYXI)",OTCPK:IYXI,Drugs (Pharmaceutical),United States,United States,United States
ION Geophysical Corporation (NYSE:IO),NYSE:IO,Oilfield Svcs/Equip.,United States,United States,United States
"Ionis Pharmaceuticals, Inc. (NasdaqGS:IONS)",NasdaqGS:IONS,Drugs (Biotechnology),United States,United States,United States
iPass Inc. (NasdaqGS:IPAS),NasdaqGS:IPAS,Software (Internet),United States,United States,United States
IPG Photonics Corporation (NasdaqGS:IPGP),NasdaqGS:IPGP,Electronics (General),United States,United States,United States
IPOWorld (OTCPK:IPOW),OTCPK:IPOW,Real Estate (Operations & Services),United States,United States,United States
"iPure Labs, Inc. (OTCPK:IPLB)",OTCPK:IPLB,Household Products,United States,United States,United States
IRadimed Corporation (NasdaqCM:IRMD),NasdaqCM:IRMD,Healthcare Products,United States,United States,United States
"Ireland, Inc. (OTCPK:IRLD)",OTCPK:IRLD,Metals & Mining,United States,United States,United States
IRIDEX Corporation (NasdaqGM:IRIX),NasdaqGM:IRIX,Healthcare Products,United States,United States,United States
Iridium Communications Inc. (NasdaqGS:IRDM),NasdaqGS:IRDM,Telecom. Services,United States,United States,United States
Iris BioTechnologies Inc. (OTCPK:IRSB),OTCPK:IRSB,Drugs (Biotechnology),United States,United States,United States
iRobot Corporation (NasdaqGS:IRBT),NasdaqGS:IRBT,Furn/Home Furnishings,United States,United States,United States
Iron Mountain Incorporated (NYSE:IRM),NYSE:IRM,R.E.I.T.,United States,United States,United States
Ironclad Performance Wear Corporation (OTCPK:ICPW),OTCPK:ICPW,Apparel,United States,United States,United States
Ironwood Gold Corp. (OTCPK:IROG),OTCPK:IROG,Precious Metals,United States,United States,United States
"Ironwood Pharmaceuticals, Inc. (NasdaqGS:IRWD)",NasdaqGS:IRWD,Drugs (Biotechnology),United States,United States,United States
Isabella Bank Corp. (OTCPK:ISBA),OTCPK:ISBA,Banks (Regional),United States,United States,United States
Isbre Holding Corp. (OTCPK:ISBH),OTCPK:ISBH,Beverage (Soft),United States,United States,United States
iSign Solutions Inc. (OTCPK:ISGN),OTCPK:ISGN,Software (System & Application),United States,United States,United States
"Isle of Capri Casinos, Inc. (NasdaqGS:ISLE)",NasdaqGS:ISLE,Hotel/Gaming,United States,United States,United States
"Islet Sciences, Inc. (OTCPK:ISLT)",OTCPK:ISLT,Drugs (Biotechnology),United States,United States,United States
Ism International Inc. (OTCPK:ISML),OTCPK:ISML,Household Products,United States,United States,United States
Isomet Corp. (OTCPK:IOMT),OTCPK:IOMT,Electronics (General),United States,United States,United States
"IsoRay, Inc. (AMEX:ISR)",AMEX:ISR,Drugs (Biotechnology),United States,United States,United States
Isramco Inc. (NasdaqCM:ISRL),NasdaqCM:ISRL,Oil/Gas (Production and Exploration),United States,United States,United States
Issuer Direct Corporation (AMEX:ISDR),AMEX:ISDR,Software (Internet),United States,United States,United States
