"To look up a company, you can either go through the entire list (which is alphabetically sorted) or use the lookup function that I have built in.",,,,,
Company name,"The Daiei,Inc. (TSE:8263)",Please use the scrolling list to find your company,,,
Industry Group =,Insurance (Life),,,,
Country =,Japan,,,,
Broad Geographical group =,Japan,,,,
Sub Group =,Japan,,,,
"If you want to find the companies in a sector, use the industry sorted worksheet in this spreadsheet",,,,,
,,,,,
,,,,,
Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
"Andor Co., Ltd. (JASDAQ:4640)",JASDAQ:4640,Computer Services,Japan,Japan,Japan
ANEST IWATA Corporation (TSE:6381),TSE:6381,Machinery,Japan,Japan,Japan
"AnGes MG, Inc. (TSE:4563)",TSE:4563,Drugs (Biotechnology),Japan,Japan,Japan
"Anicom Holdings, Inc. (TSE:8715)",TSE:8715,Insurance (Prop/Cas.),Japan,Japan,Japan
"Anrakutei Co., Ltd. (TSE:7562)",TSE:7562,Restaurant/Dining,Japan,Japan,Japan
Anritsu Corp. (TSE:6754),TSE:6754,Electronics (General),Japan,Japan,Japan
"Anshin Guarantor Service Co., Ltd. (TSE:7183)",TSE:7183,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan
Aohata Corporation (TSE:2830),TSE:2830,Food Processing,Japan,Japan,Japan
"AOI Electronics Co., Ltd. (TSE:6832)",TSE:6832,Semiconductor,Japan,Japan,Japan
AOI Pro.Inc. (TSE:9607),TSE:9607,Advertising,Japan,Japan,Japan
AOKI Holdings Inc. (TSE:8214),TSE:8214,Retail (Special Lines),Japan,Japan,Japan
"Aoki Super Co., LTD. (JASDAQ:9977)",JASDAQ:9977,Retail (Grocery and Food),Japan,Japan,Japan
"Aoyama Trading Company, Ltd. (TSE:8219)",TSE:8219,Retail (Special Lines),Japan,Japan,Japan
Aoyama Zaisan Networks Company Limited (TSE:8929),TSE:8929,Real Estate (Operations & Services),Japan,Japan,Japan
"Aozora Bank, Ltd. (TSE:8304)",TSE:8304,Bank (Money Center),Japan,Japan,Japan
"AP Company Co., Ltd. (TSE:3175)",TSE:3175,Restaurant/Dining,Japan,Japan,Japan
"Apamanshop Holdings Co.,Ltd. (JASDAQ:8889)",JASDAQ:8889,Real Estate (Operations & Services),Japan,Japan,Japan
Apic Yamada Corporation (TSE:6300),TSE:6300,Semiconductor Equip,Japan,Japan,Japan
Aplix IP Holdings Corporation (TSE:3727),TSE:3727,Software (System & Application),Japan,Japan,Japan
"APLUS FINANCIAL Co., Ltd. (TSE:8589)",TSE:8589,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan
"AppBank Co., Ltd. (TSE:6177)",TSE:6177,Retail (Online),Japan,Japan,Japan
"Apple International Co., Ltd. (TSE:2788)",TSE:2788,Retail (Automotive),Japan,Japan,Japan
"Applied Co.,Ltd. (JASDAQ:3020)",JASDAQ:3020,Retail (Special Lines),Japan,Japan,Japan
"Applied Technology Co., Ltd. (JASDAQ:4356)",JASDAQ:4356,Computer Services,Japan,Japan,Japan
Aqua Power Systems Inc. (OTCPK:APSI),OTCPK:APSI,Electrical Equipment,Japan,Japan,Japan
Aqualine Ltd. (TSE:6173),TSE:6173,Business & Consumer Services,Japan,Japan,Japan
"Arakawa Chemical Industries, Ltd. (TSE:4968)",TSE:4968,Chemical (Basic),Japan,Japan,Japan
Arata Corporation (TSE:2733),TSE:2733,Retail (Distributors),Japan,Japan,Japan
"Araya Industrial Co., Ltd. (TSE:7305)",TSE:7305,Steel,Japan,Japan,Japan
"Arbeit-Times Co., Ltd. (JASDAQ:2341)",JASDAQ:2341,Publshing & Newspapers,Japan,Japan,Japan
Architects Studio Japan Inc. (TSE:6085),TSE:6085,Business & Consumer Services,Japan,Japan,Japan
"Arcland Sakamoto Co., Ltd. (TSE:9842)",TSE:9842,Retail (Building Supply),Japan,Japan,Japan
"ArcLand Service Co., Ltd. (TSE:3085)",TSE:3085,Restaurant/Dining,Japan,Japan,Japan
ARCS Company Limited (TSE:9948),TSE:9948,Retail (Grocery and Food),Japan,Japan,Japan
"ARDEPRO Co., Ltd. (TSE:8925)",TSE:8925,Real Estate (Development),Japan,Japan,Japan
Area Quest Inc (TSE:8912),TSE:8912,Real Estate (Operations & Services),Japan,Japan,Japan
"Arealink Co.,Ltd. (TSE:8914)",TSE:8914,Real Estate (Operations & Services),Japan,Japan,Japan
Argo Graphics Inc. (TSE:7595),TSE:7595,Computer Services,Japan,Japan,Japan
"ARIAKE JAPAN Co., Ltd. (TSE:2815)",TSE:2815,Food Processing,Japan,Japan,Japan
"Arigatou Services Company,Limited (JASDAQ:3177)",JASDAQ:3177,Restaurant/Dining,Japan,Japan,Japan
"Arisawa Manufacturing Co., Ltd. (TSE:5208)",TSE:5208,Electronics (General),Japan,Japan,Japan
"Arkcore, Inc. (NSE:3384)",NSE:3384,Retail (Automotive),Japan,Japan,Japan
ARRK Corporation (TSE:7873),TSE:7873,Business & Consumer Services,Japan,Japan,Japan
"Art Green Co., Ltd. (NSE:3419)",NSE:3419,Retail (Distributors),Japan,Japan,Japan
"Art Vivant Co., Ltd. (JASDAQ:7523)",JASDAQ:7523,Retail (Special Lines),Japan,Japan,Japan
"ARTE Salon Holdings, Inc. (JASDAQ:2406)",JASDAQ:2406,Business & Consumer Services,Japan,Japan,Japan
"Artiza Networks, Inc. (TSE:6778)",TSE:6778,Telecom. Equipment,Japan,Japan,Japan
"Artnature, Inc. (TSE:7823)",TSE:7823,Household Products,Japan,Japan,Japan
Artner Company Ltd. (JASDAQ:2163),JASDAQ:2163,Business & Consumer Services,Japan,Japan,Japan
artra corporation (TSE:6029),TSE:6029,Healthcare Support Services,Japan,Japan,Japan
ArtSpark Holdings Inc. (TSE:3663),TSE:3663,Software (System & Application),Japan,Japan,Japan
As One Corp. (TSE:7476),TSE:7476,Healthcare Support Services,Japan,Japan,Japan
"As-me ESTELLE CO., LTD. (TSE:7872)",TSE:7872,Apparel,Japan,Japan,Japan
Asagami Corporation (TSE:9311),TSE:9311,Shipbuilding & Marine,Japan,Japan,Japan
Asahi Broadcasting Corporation (TSE:9405),TSE:9405,Broadcasting,Japan,Japan,Japan
"ASAHI CO.,LTD. (TSE:3333)",TSE:3333,Retail (Special Lines),Japan,Japan,Japan
"Asahi Concrete Works Co., Ltd. (TSE:5268)",TSE:5268,Construction Supplies,Japan,Japan,Japan
Asahi Diamond Industrial Co. Ltd. (TSE:6140),TSE:6140,Machinery,Japan,Japan,Japan
Asahi Eito Co. Ltd. (TSE:5341),TSE:5341,Building Materials,Japan,Japan,Japan
Asahi Glass Co. Ltd. (TSE:5201),TSE:5201,Building Materials,Japan,Japan,Japan
"Asahi Group Holdings, Ltd. (TSE:2502)",TSE:2502,Beverage (Alcoholic),Japan,Japan,Japan
"Asahi Holdings,Inc. (TSE:5857)",TSE:5857,Precious Metals,Japan,Japan,Japan
"Asahi Industries Co., Ltd. (JASDAQ:5456)",JASDAQ:5456,Steel,Japan,Japan,Japan
"Asahi Intecc Co., Ltd. (TSE:7747)",TSE:7747,Healthcare Products,Japan,Japan,Japan
"Asahi Intelligence Service Co., Ltd. (TSE:9799)",TSE:9799,Computer Services,Japan,Japan,Japan
"Asahi Kagaku Kogyo Co., Ltd. (JASDAQ:7928)",JASDAQ:7928,Chemical (Basic),Japan,Japan,Japan
Asahi Kasei Corporation (TSE:3407),TSE:3407,Chemical (Basic),Japan,Japan,Japan
"Asahi Kogyosha Co., Ltd. (TSE:1975)",TSE:1975,Engineering/Construction,Japan,Japan,Japan
"ASAHI Net, Inc. (TSE:3834)",TSE:3834,Software (Internet),Japan,Japan,Japan
"Asahi Organic Chemicals Industry Co., Ltd. (TSE:4216)",TSE:4216,Chemical (Basic),Japan,Japan,Japan
"Asahi Printing Co.,Ltd. (TSE:3951)",TSE:3951,Packaging & Container,Japan,Japan,Japan
Asahi Rubber Inc. (JASDAQ:5162),JASDAQ:5162,Machinery,Japan,Japan,Japan
"Asahi-Seiki Manufacturing Co., Ltd. (NSE:6111)",NSE:6111,Machinery,Japan,Japan,Japan
"Asahimatsu Foods Co., Ltd. (TSE:2911)",TSE:2911,Food Processing,Japan,Japan,Japan
Asahipen Corporation (TSE:4623),TSE:4623,Chemical (Basic),Japan,Japan,Japan
"Asaka Industrial Co., Ltd. (TSE:5962)",TSE:5962,Furn/Home Furnishings,Japan,Japan,Japan
"Asaka Riken Co., Ltd. (JASDAQ:5724)",JASDAQ:5724,Environmental & Waste Services,Japan,Japan,Japan
Asante Incorporated (TSE:6073),TSE:6073,Business & Consumer Services,Japan,Japan,Japan
Asanuma Corporation (TSE:1852),TSE:1852,Engineering/Construction,Japan,Japan,Japan
Asatsu-DK Inc. (TSE:9747),TSE:9747,Advertising,Japan,Japan,Japan
"Asax Co., Ltd. (TSE:8772)",TSE:8772,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan
Ascot Corp. (JASDAQ:3264),JASDAQ:3264,Real Estate (General/Diversified),Japan,Japan,Japan
"Aseed Holdings Co.,Ltd. (TSE:9959)",TSE:9959,Retail (Special Lines),Japan,Japan,Japan
"Asgent, Inc. (JASDAQ:4288)",JASDAQ:4288,Software (Internet),Japan,Japan,Japan
"Ashikaga Holdings Co., Ltd. (TSE:7167)",TSE:7167,Banks (Regional),Japan,Japan,Japan
"Ashimori Industry Co., Ltd. (TSE:3526)",TSE:3526,Auto Parts,Japan,Japan,Japan
"Asia Air Survey Co., Ltd. (TSE:9233)",TSE:9233,Business & Consumer Services,Japan,Japan,Japan
Asia Development Capital Co. Ltd. (TSE:9318),TSE:9318,Investments & Asset Management,Japan,Japan,Japan
"Asia Gate Holdings Co., Ltd. (JASDAQ:1783)",JASDAQ:1783,Engineering/Construction,Japan,Japan,Japan
"Asia Growth Capital, Ltd. (TSE:6993)",TSE:6993,Electrical Equipment,Japan,Japan,Japan
Asia Pile Holdings Corporation (TSE:5288),TSE:5288,Construction Supplies,Japan,Japan,Japan
Asian Star Co. (JASDAQ:8946),JASDAQ:8946,Real Estate (Development),Japan,Japan,Japan
ASICS Corp. (TSE:7936),TSE:7936,Shoe,Japan,Japan,Japan
ASJ Inc. (TSE:2351),TSE:2351,Software (Internet),Japan,Japan,Japan
Aska Corp. (NSE:7227),NSE:7227,Auto Parts,Japan,Japan,Japan
ASKA Pharmaceutical Co.Ltd. (TSE:4514),TSE:4514,Drugs (Pharmaceutical),Japan,Japan,Japan
ASKUL Corporation (TSE:2678),TSE:2678,Retail (Special Lines),Japan,Japan,Japan
Asmo Corporation (TSE:2654),TSE:2654,Food Wholesalers,Japan,Japan,Japan
"Aso Foam Crete Co.,Ltd. (JASDAQ:1730)",JASDAQ:1730,Engineering/Construction,Japan,Japan,Japan
"Asrapport Dining Co., Ltd. (JASDAQ:3069)",JASDAQ:3069,Restaurant/Dining,Japan,Japan,Japan
"Astellas Pharma, Inc. (TSE:4503)",TSE:4503,Drugs (Pharmaceutical),Japan,Japan,Japan
Asti Corporation (TSE:6899),TSE:6899,Auto Parts,Japan,Japan,Japan
